SEX,AGE,REGION,CITY_SIZE,N_W_Q1,# T_Q1,N_W_Q2,#T_Q2,#T_TRUSTED,N_W_Q3,#T_Q3,#T_UNTRUSTED,N_W_Q4,#T_Q4,N_W_Q5,#T_Q5,N_W_Q6,#T_Q6,JOB,EDU_LV,COMPL_TIME_SEC,User_Experience_Rating,Total_Words_per_Respondent,Total_Themes_per_Respondent,Completion Mode,Transcripts Comparison Result,Transcript Classification Result
Un maschio,46,Lombardia,Oltre 500.001,34,4,64,4,0,0,0,0,0,0,28,2,11,1,Impiegato,Laurea/post laurea,1281,8,137,7,Glaut,worst,not gibberish
Una femmina,24,Lombardia,Fino a 10.000,10,2,6,1,1,8,2,0,0,0,18,2,7,1,Operaio,Scuole superiori/Diploma,340,9,49,7,Glaut,better,not gibberish
Un maschio,41,Lombardia,Da 10.001 a 30.000,7,2,7,1,1,8,1,0,0,0,6,1,5,1,Dirigente/Quadro,Scuole superiori/Diploma,253,7,33,5,Glaut,better,not gibberish
Un maschio,47,Piemonte,Fino a 10.000,12,2,13,2,1,8,2,0,0,0,7,1,4,1,Operaio,Scuole superiori/Diploma,314,7,44,7,Glaut,better,not gibberish
Una femmina,40,Piemonte,Fino a 10.000,14,3,11,2,1,6,1,1,5,2,22,2,6,1,Impiegato,Laurea/post laurea,262,7,64,10,Glaut,better,not gibberish
Un maschio,56,Emilia Romagna,Da 30.001 a 100.000,8,2,6,1,1,8,2,1,18,2,6,2,2,1,Impiegato,Scuole superiori/Diploma,460,6,48,10,Glaut,better,not gibberish
Un maschio,48,Puglia,Da 100.001 a 500.000,11,2,11,4,4,22,2,1,19,1,8,1,6,1,Impiegato,Scuole superiori/Diploma,588,10,77,14,Glaut,better,not gibberish
Una femmina,67,Campania,Da 30.001 a 100.000,9,2,14,3,1,9,2,0,0,0,6,1,7,1,Casalinga,Scuole superiori/Diploma,328,10,45,8,Glaut,worst,not gibberish
Una femmina,56,Lombardia,Da 30.001 a 100.000,56,19,84,3,1,26,3,0,0,0,20,2,17,2,Impiegato,Scuole superiori/Diploma,338,9,203,11,Glaut,worst,not gibberish
Un maschio,56,emilia romagna,Da 100.001 a 500.000,16,2,7,2,1,6,2,1,25,3,5,1,2,1,Operaio,Scuole superiori/Diploma,765,9,61,11,Glaut,better,not gibberish
Una femmina,36,Lazio,Da 10.001 a 30.000,46,2,13,1,1,22,2,1,23,2,46,2,27,2,Non occupato/in cerca di occupazione,Laurea/post laurea,357,8,177,11,Glaut,worst,gibberish
Una femmina,50,Lombardia,Oltre 500.001,31,3,15,3,1,23,3,1,32,1,13,2,14,2,Impiegato,Scuole superiori/Diploma,585,9,128,13,Glaut,worst,gibberish
Un maschio,56,Emilia Romagna,Da 30.001 a 100.000,8,2,6,1,1,8,2,1,18,2,6,2,2,1,Impiegato,Scuole superiori/Diploma,460,6,48,10,Glaut,better,not gibberish
Un maschio,57,Abruzzo,Da 10.001 a 30.000,2,0,15,2,0,0,0,0,0,0,6,0,4,0,Non occupato/in cerca di occupazione,Laurea/post laurea,326,7,27,2,Glaut,worst,gibberish
Una femmina,22,Toscana,Fino a 10.000,19,2,11,2,1,17,2,0,0,0,37,2,29,2,Impiegato,Scuole superiori/Diploma,410,10,113,9,Glaut,better,not gibberish
Un maschio,37,Piemonte,Da 10.001 a 30.000,32,3,51,3,1,17,2,1,46,2,21,3,26,1,Dirigente/Quadro,Laurea/post laurea,627,10,193,13,Glaut,better,not gibberish
Un maschio,46,Lombardia,Oltre 500.001,34,4,64,4,0,0,0,0,0,0,28,2,11,1,Impiegato,Laurea/post laurea,1281,8,137,7,Glaut,better,not gibberish
Una femmina,67,Puglia,Oltre 500.001,31,3,69,4,2,18,2,0,12,3,34,3,17,1,Casalinga,Laurea/post laurea,1021,10,181,15,Glaut,worst,gibberish
Una femmina,40,sicilia,Da 10.001 a 30.000,2,2,3,1,0,0,0,0,0,0,4,0,2,0,Impiegato,Scuole superiori/Diploma,274,6,11,1,Glaut,better,not gibberish
Un maschio,69,Abruzzo,Da 10.001 a 30.000,8,2,6,1,1,6,1,1,12,2,2,1,9,1,Impiegato,Scuole superiori/Diploma,425,9,43,8,Glaut,better,not gibberish
Un maschio,37,Piemonte,Da 10.001 a 30.000,32,3,51,3,1,17,2,1,46,2,21,3,26,1,Dirigente/Quadro,Laurea/post laurea,627,10,193,13,Glaut,worst,gibberish
Un maschio,32,Sardegna,Fino a 10.000,7,2,6,1,1,5,1,0,0,0,7,2,3,1,Non occupato/in cerca di occupazione,Scuole medie,193,10,28,6,Glaut,better,not gibberish
Una femmina,50,Lombardia,Oltre 500.001,31,3,15,3,1,23,3,1,32,1,13,2,14,2,Impiegato,Scuole superiori/Diploma,585,9,128,13,Glaut,better,not gibberish
Un maschio,25,Veneto,Da 10.001 a 30.000,11,1,20,2,0,0,0,1,10,2,7,1,4,1,Impiegato,Scuole superiori/Diploma,235,1,52,7,Glaut,better,gibberish
Un maschio,70,Campania.,Oltre 500.001,37,3,46,2,1,18,2,0,0,0,29,2,23,2,Imprenditore/libero professionista,Laurea/post laurea,1667,1,153,9,Glaut,worst,gibberish
Una femmina,19,sicilia,Fino a 10.000,13,2,9,1,1,12,2,0,0,0,13,2,16,2,Non occupato/in cerca di occupazione,Laurea/post laurea,447,10,63,8,Glaut,better,not gibberish
Un maschio,59,Lombardia,Da 10.001 a 30.000,20,2,17,3,1,24,3,1,29,2,16,1,8,1,Imprenditore/libero professionista,Scuole superiori/Diploma,451,10,114,12,Glaut,better,not gibberish
Un maschio,34,Friuli Venezia Giulia,Fino a 10.000,13,1,11,2,1,7,1,0,0,0,8,1,6,1,Non occupato/in cerca di occupazione,Scuole medie,215,10,45,6,Glaut,better,not gibberish
Una femmina,24,Lombardia,Fino a 10.000,10,2,6,1,1,8,2,0,0,0,18,2,7,1,Operaio,Scuole superiori/Diploma,340,9,49,7,Glaut,better,not gibberish
Una femmina,53,veneto,Da 10.001 a 30.000,14,2,14,1,1,15,2,0,0,0,14,2,8,1,Impiegato,Scuole medie,691,5,65,7,Glaut,better,gibberish
Un maschio,48,Puglia,Da 100.001 a 500.000,11,2,11,4,4,22,2,1,19,1,8,1,6,1,Impiegato,Scuole superiori/Diploma,588,10,77,14,Glaut,better,not gibberish
Un maschio,44,Sicilia,Da 100.001 a 500.000,4,0,2,0,1,2,0,1,4,1,2,0,2,0,Impiegato,Laurea/post laurea,260,4,16,3,Glaut,better,not gibberish
Una femmina,40,Piemonte,Fino a 10.000,14,3,11,2,1,6,1,1,5,2,22,2,6,1,Impiegato,Laurea/post laurea,262,7,64,10,Glaut,better,gibberish
Un maschio,39,Veneto,Fino a 10.000,9,2,12,1,1,11,3,0,0,0,2,1,19,2,Dirigente/Quadro,Scuole superiori/Diploma,587,9,53,8,Glaut,better,not gibberish
Un maschio,34,Friuli Venezia Giulia,Fino a 10.000,13,1,11,2,1,7,1,0,0,0,8,1,6,1,Non occupato/in cerca di occupazione,Scuole medie,215,10,45,6,Glaut,better,not gibberish
Una femmina,38,Puglia,Da 30.001 a 100.000,20,3,20,2,1,26,2,0,0,0,4,0,7,1,Studente,Scuole superiori/Diploma,392,10,77,6,Glaut,better,gibberish
Una femmina,40,Piemonte,Fino a 10.000,14,3,11,2,1,6,1,1,5,2,22,2,6,1,Impiegato,Laurea/post laurea,262,7,64,10,Glaut,better,not gibberish
Un maschio,47,Piemonte,Fino a 10.000,12,2,13,2,1,8,2,0,0,0,7,1,4,1,Operaio,Scuole superiori/Diploma,314,7,44,7,Glaut,better,not gibberish
Un maschio,53,Toscana,Da 100.001 a 500.000,12,2,33,3,1,13,2,1,27,2,19,2,7,1,Impiegato,Scuole superiori/Diploma,624,7,111,12,Glaut,worst,not gibberish
Un maschio,45,Emilia Romagna,Da 30.001 a 100.000,14,2,16,3,1,16,1,0,0,0,10,1,10,1,Impiegato,Laurea/post laurea,325,9,66,7,Glaut,worst,not gibberish
Un maschio,50,Lombardia,Fino a 10.000,3,2,9,2,1,5,2,1,3,2,6,2,3,0,Operaio,Scuole superiori/Diploma,259,9,29,10,Glaut,better,not gibberish
Un maschio,39,Veneto,Fino a 10.000,9,2,12,1,1,11,3,0,0,0,2,1,19,2,Dirigente/Quadro,Scuole superiori/Diploma,587,9,53,8,Glaut,better,not gibberish
Una femmina,45,Emilia Romagna,Da 100.001 a 500.000,9,2,7,2,1,8,2,1,9,2,13,2,6,1,Impiegato,Scuole superiori/Diploma,13385,7,52,11,Glaut,worst,not gibberish
Un maschio,46,Lombardia,Oltre 500.001,34,4,64,4,0,0,0,0,0,0,28,2,11,1,Impiegato,Laurea/post laurea,1281,8,137,7,Glaut,better,not gibberish
Una femmina,28,Lombardia,Oltre 500.001,16,2,18,2,1,10,1,0,0,0,9,1,9,1,Imprenditore/libero professionista,Laurea/post laurea,255,10,62,6,Glaut,better,not gibberish
Una femmina,39,Calabria,Da 100.001 a 500.000,7,2,15,1,1,8,1,0,0,0,8,1,6,1,Impiegato,Scuole superiori/Diploma,425,10,44,5,Glaut,better,not gibberish
Un maschio,69,Abruzzo,Da 10.001 a 30.000,8,2,6,1,1,6,1,1,12,2,2,1,9,1,Impiegato,Scuole superiori/Diploma,425,9,43,8,Glaut,better,not gibberish
Un maschio,37,Piemonte,Da 10.001 a 30.000,32,3,51,3,1,17,2,1,46,2,21,3,26,1,Dirigente/Quadro,Laurea/post laurea,627,10,193,13,Glaut,better,gibberish
Una femmina,33,Sicilia,Da 30.001 a 100.000,18,1,8,1,1,4,1,1,4,1,3,1,2,1,Impiegato,Laurea/post laurea,563,10,39,7,Glaut,better,gibberish
Una femmina,49,Sardegna,Fino a 10.000,31,1,37,2,3,13,2,1,11,1,10,2,11,2,Operaio,Scuole superiori/Diploma,330,9,113,13,Glaut,better,not gibberish
Una femmina,36,lazio,Oltre 500.001,11,1,7,2,1,5,2,1,5,1,2,1,3,1,Impiegato,Laurea/post laurea,218,8,33,9,Glaut,better,gibberish
Una femmina,31,Toscana,Da 30.001 a 100.000,13,1,11,1,1,6,2,0,0,0,10,1,10,1,Impiegato,Laurea/post laurea,276,9,50,6,Glaut,better,not gibberish
Una femmina,48,Piemonte,Da 30.001 a 100.000,10,2,12,1,1,9,2,1,10,2,7,1,8,1,Impiegato,Laurea/post laurea,485,8,55,9,Glaut,worst,gibberish
Un maschio,14,Veneto,Fino a 10.000,17,1,10,2,1,9,1,0,0,0,3,1,3,1,Imprenditore/libero professionista,Laurea/post laurea,304,7,42,6,Glaut,better,gibberish
Un maschio,69,Abruzzo,Da 10.001 a 30.000,8,2,6,1,1,6,1,1,12,2,2,1,9,1,Impiegato,Scuole superiori/Diploma,425,9,43,8,Glaut,worst,gibberish
Una femmina,28,Lombardia,Oltre 500.001,16,2,18,2,1,10,1,0,0,0,9,1,9,1,Imprenditore/libero professionista,Laurea/post laurea,255,10,62,6,Glaut,better,not gibberish
Una femmina,31,Toscana,Da 30.001 a 100.000,13,1,11,1,1,6,2,0,0,0,10,1,10,1,Impiegato,Laurea/post laurea,276,9,50,6,Glaut,worst,not gibberish
Un maschio,32,Emilia romagna,Da 100.001 a 500.000,23,2,17,1,1,12,2,0,0,0,9,1,10,0,Imprenditore/libero professionista,Scuole superiori/Diploma,223,10,71,5,Glaut,better,not gibberish
Un maschio,29,emilia romagna,Da 100.001 a 500.000,20,2,25,3,1,25,4,1,10,1,40,3,10,2,Imprenditore/libero professionista,Laurea/post laurea,391,7,130,15,Glaut,better,not gibberish
Un maschio,56,emilia romagna,Da 100.001 a 500.000,16,2,7,2,1,6,2,1,25,3,5,1,2,1,Operaio,Scuole superiori/Diploma,765,9,61,11,Glaut,better,not gibberish
Un maschio,53,Toscana,Da 100.001 a 500.000,12,2,33,3,1,13,2,1,27,2,19,2,7,1,Impiegato,Scuole superiori/Diploma,624,7,111,12,Glaut,better,not gibberish
Un maschio,57,Abruzzo,Da 10.001 a 30.000,2,0,15,2,0,0,0,0,0,0,6,0,4,0,Non occupato/in cerca di occupazione,Laurea/post laurea,326,7,27,2,Glaut,worst,not gibberish
Una femmina,48,Piemonte,Da 30.001 a 100.000,10,2,12,1,1,9,2,1,10,2,7,1,8,1,Impiegato,Laurea/post laurea,485,8,55,9,Glaut,better,gibberish
Una femmina,20,Campania,Da 10.001 a 30.000,18,4,12,1,1,9,1,0,0,0,23,3,11,1,Studente,Scuole superiori/Diploma,287,10,73,7,Glaut,better,not gibberish
Un maschio,69,Abruzzo,Da 10.001 a 30.000,8,2,6,1,1,6,1,1,12,2,2,1,9,1,Impiegato,Scuole superiori/Diploma,425,9,43,8,Glaut,worst,gibberish
Una femmina,28,Lombardia,Oltre 500.001,16,2,18,2,1,10,1,0,0,0,9,1,9,1,Imprenditore/libero professionista,Laurea/post laurea,255,10,62,6,Glaut,worst,not gibberish
Una femmina,42,Lombardia,Oltre 500.001,14,2,21,3,0,10,3,0,0,0,26,3,13,2,Impiegato,Laurea/post laurea,358,9,84,11,Glaut,better,not gibberish
Un maschio,68,Lombardia,Da 10.001 a 30.000,8,1,18,1,0,29,2,2,39,2,47,3,70,2,Pensionato,Laurea/post laurea,308,10,211,12,Glaut,worst,gibberish
Una femmina,28,Lombardia,Oltre 500.001,16,2,18,2,1,10,1,0,0,0,9,1,9,1,Imprenditore/libero professionista,Laurea/post laurea,255,10,62,6,Glaut,better,not gibberish
Una femmina,50,Lombardia,Oltre 500.001,31,3,15,3,1,23,3,1,32,1,13,2,14,2,Impiegato,Scuole superiori/Diploma,585,9,128,13,Glaut,worst,not gibberish
Un maschio,47,Piemonte,Fino a 10.000,12,2,13,2,1,8,2,0,0,0,7,1,4,1,Operaio,Scuole superiori/Diploma,314,7,44,7,Glaut,worst,not gibberish
Un maschio,41,Lombardia,Da 10.001 a 30.000,7,2,7,1,1,8,1,0,0,0,6,1,5,1,Dirigente/Quadro,Scuole superiori/Diploma,253,7,33,5,Glaut,better,gibberish
Una femmina,19,Emilia Romagna,Da 10.001 a 30.000,27,3,27,2,1,17,3,1,13,2,10,2,5,1,Studente,Scuole superiori/Diploma,205,10,99,12,Glaut,worst,gibberish
Una femmina,50,Piemonte,Da 30.001 a 100.000,22,3,10,3,1,10,2,1,7,1,4,1,7,1,Impiegato,Scuole superiori/Diploma,305,10,60,10,Glaut,better,not gibberish
Una femmina,55,Molise,Da 30.001 a 100.000,33,3,30,2,1,7,2,0,0,0,33,3,16,2,Dirigente/Quadro,Laurea/post laurea,528,10,119,10,Glaut,worst,gibberish
Un maschio,65,marche,Fino a 10.000,32,1,16,2,1,9,1,0,23,2,6,1,6,1,Casalinga,Scuole superiori/Diploma,512,4,92,8,Glaut,worst,gibberish
Un maschio,34,Friuli Venezia Giulia,Fino a 10.000,13,1,11,2,1,7,1,0,0,0,8,1,6,1,Non occupato/in cerca di occupazione,Scuole medie,215,10,45,6,Glaut,worst,gibberish
Un maschio,36,Sardegna,Da 100.001 a 500.000,56,2,55,2,1,6,1,1,41,3,33,3,9,1,Dirigente/Quadro,Laurea/post laurea,569,10,200,12,Glaut,better,not gibberish
Una femmina,45,Emilia Romagna,Da 100.001 a 500.000,9,2,7,2,1,8,2,1,9,2,13,2,6,1,Impiegato,Scuole superiori/Diploma,13385,7,52,11,Glaut,better,not gibberish
Un maschio,32,Sardegna,Fino a 10.000,7,2,6,1,1,5,1,0,0,0,7,2,3,1,Non occupato/in cerca di occupazione,Scuole medie,120,8,28,6,Typeform,better,not gibberish
Una femmina,45,Emilia Romagna,Da 100.001 a 500.000,9,2,7,2,1,8,2,1,9,2,13,2,6,1,Impiegato,Scuole superiori/Diploma,155,8,52,4,Typeform,better,not gibberish
Un maschio,49,Lazio,Fino a 10.000,7,2,9,2,1,12,2,1,11,2,16,2,8,1,Impiegato,Scuole superiori/Diploma,276,10,63,5,Typeform,better,not gibberish
Una femmina,77,Trentino-Alto Adige,Da 30.001 a 100.000,3,2,3,2,1,7,2,0,6,0,7,1,11,1,Pensionato,Laurea/post laurea,205,8,37,9,Typeform,better,gibberish
Una femmina,24,Lazio,Da 30.001 a 100.000,8,1,5,0,1,5,1,1,3,0,3,1,2,1,Impiegato,Laurea/post laurea,157,9,26,6,Typeform,better,not gibberish
Una femmina,38,Calabria,Da 10.001 a 30.000,5,1,1,0,1,5,1,0,5,0,5,0,4,1,Casalinga,Scuole superiori/Diploma,177,10,25,4,Typeform,worst,not gibberish
Un maschio,50,Trentino-Alto Adige,Da 100.001 a 500.000,2,1,3,1,0,2,1,1,4,0,4,1,4,1,Impiegato,Laurea/post laurea,205,0,19,6,Typeform,worst,gibberish
Una femmina,22,Campania,Da 30.001 a 100.000,18,3,9,0,1,4,1,0,4,0,4,1,6,1,Casalinga,Scuole superiori/Diploma,166,5,45,7,Typeform,better,gibberish
Una femmina,54,Piemonte,Da 30.001 a 100.000,10,1,2,1,1,2,1,1,2,1,3,1,3,1,Impiegato,Laurea/post laurea,141,5,22,8,Typeform,worst,gibberish
Una femmina,35,Lombardia,Oltre 500.001,8,1,1,0,1,13,1,0,2,0,16,3,15,2,Imprenditore/libero professionista,,174,8,55,8,Typeform,worst,gibberish
Una femmina,45,Emilia-Romagna,Da 100.001 a 500.000,5,1,3,1,0,5,1,1,5,1,6,1,6,1,Impiegato,Scuole superiori/Diploma,1362,7,30,7,Typeform,worst,gibberish
Una femmina,53,Campania,Da 30.001 a 100.000,14,3,9,1,3,17,3,1,5,1,10,1,5,1,Non occupato/in cerca di occupazione,,371,10,60,13,Typeform,worst,gibberish
Un maschio,19,Sicilia,Fino a 10.000,12,1,5,1,1,6,2,0,5,0,12,1,5,1,Non occupato/in cerca di occupazione,Scuole superiori/Diploma,252,10,45,7,Typeform,better,not gibberish
Una femmina,66,Abruzzo,Da 10.001 a 30.000,12,1,1,0,1,4,1,0,8,0,3,1,3,1,Casalinga,,165,10,31,5,Typeform,worst,gibberish
Un maschio,34,Campania,Da 10.001 a 30.000,9,1,5,1,1,3,2,0,1,0,1,0,1,1,Impiegato,Laurea/post laurea,238,8,20,6,Typeform,worst,gibberish
Una femmina,34,Sicilia,Da 10.001 a 30.000,15,2,5,1,1,7,1,1,6,1,5,1,4,1,Dirigente/Quadro,Laurea/post laurea,197,10,42,9,Typeform,better,not gibberish
Un maschio,77,Lombardia,Fino a 10.000,10,2,9,2,0,6,0,0,7,1,5,1,1,0,Pensionato,Laurea/post laurea,543,2,38,6,Typeform,worst,not gibberish
Una femmina,77,Trentino-Alto Adige,Da 30.001 a 100.000,3,2,3,2,1,7,2,0,6,0,7,1,11,1,Pensionato,Laurea/post laurea,205,8,37,9,Typeform,worst,not gibberish
Una femmina,20,Piemonte,Fino a 10.000,4,1,7,1,1,4,1,1,7,1,5,1,5,1,Artigiano/commerciante,Scuole superiori/Diploma,189,10,32,8,Typeform,worst,not gibberish
Un maschio,77,Lombardia,Fino a 10.000,10,2,9,2,0,6,0,0,7,1,5,1,1,0,Pensionato,Laurea/post laurea,543,2,38,6,Typeform,better,not gibberish
Un maschio,29,Campania,Da 30.001 a 100.000,3,1,1,0,1,3,1,1,1,1,4,0,1,1,Impiegato,Scuole superiori/Diploma,112,9,13,6,Typeform,worst,not gibberish
Un maschio,63,Marche,Da 10.001 a 30.000,4,1,4,1,0,5,0,0,2,0,4,0,2,1,Pensionato,Scuole superiori/Diploma,352,4,21,3,Typeform,better,not gibberish
Una femmina,18,Lazio,Fino a 10.000,13,2,5,1,,2,0,0,1,0,5,1,2,1,Impiegato,Scuole medie,107,10,28,5,Typeform,worst,gibberish
Una femmina,30,Sicilia,Da 10.001 a 30.000,27,3,8,2,1,1,1,0,2,0,8,1,2,0,Impiegato,Laurea/post laurea,536,,48,8,Typeform,worst,not gibberish
Una femmina,40,Sicilia,Da 10.001 a 30.000,1,1,1,0,0,1,1,0,2,1,2,0,2,0,Casalinga,Scuole superiori/Diploma,235,6,9,3,Typeform,worst,gibberish
Un maschio,60,Campania,Oltre 500.001,6,1,8,1,1,11,2,0,7,1,13,2,7,0,Pensionato,Scuole superiori/Diploma,426,9,52,8,Typeform,worst,gibberish
Un maschio,25,Sicilia,Fino a 10.000,1,1,3,1,1,2,1,1,3,1,2,1,3,1,Impiegato,Laurea/post laurea,836,9,14,8,Typeform,worst,not gibberish
Una femmina,40,Lombardia,Da 30.001 a 100.000,9,2,9,2,1,10,1,0,5,0,12,2,9,2,Impiegato,Laurea/post laurea,192,9,54,10,Typeform,worst,gibberish
Un maschio,29,Campania,Da 30.001 a 100.000,3,1,1,0,1,3,1,1,1,1,4,0,1,1,Impiegato,Scuole superiori/Diploma,112,9,13,6,Typeform,better,not gibberish
Un maschio,25,Sicilia,Fino a 10.000,1,1,3,1,1,2,1,1,3,1,2,1,3,1,Impiegato,Laurea/post laurea,836,9,14,8,Typeform,better,not gibberish
Una femmina,42,Lombardia,Da 10.001 a 30.000,4,1,5,1,1,5,1,1,5,1,6,1,7,1,Impiegato,Laurea/post laurea,200,8,32,8,Typeform,worst,gibberish
Un maschio,47,Veneto,Da 30.001 a 100.000,3,1,6,1,1,4,1,0,3,0,3,1,2,1,Dirigente/Quadro,Laurea/post laurea,170,10,21,6,Typeform,better,gibberish
Un maschio,56,Sicilia,Da 10.001 a 30.000,2,0,1,0,1,2,1,1,4,1,2,0,1,0,Dirigente/Quadro,Scuole superiori/Diploma,124,10,12,4,Typeform,better,gibberish
Un maschio,34,Lazio,Oltre 500.001,4,1,1,0,1,2,1,1,3,1,1,1,2,1,Impiegato,Laurea/post laurea,176,10,13,7,Typeform,worst,not gibberish
Una femmina,42,Campania,Oltre 500.001,6,1,3,3,1,5,2,1,5,1,6,1,7,1,Impiegato,Laurea/post laurea,215,10,32,11,Typeform,better,not gibberish
Un maschio,33,Marche,Da 100.001 a 500.000,3,0,1,0,1,2,0,0,1,0,4,1,2,0,Impiegato,Scuole superiori/Diploma,191,10,13,3,Typeform,worst,not gibberish
Un maschio,41,Lombardia,Da 10.001 a 30.000,4,1,2,0,1,3,0,1,2,1,3,0,3,1,Operaio,Scuole superiori/Diploma,106,5,17,5,Typeform,worst,gibberish
Un maschio,27,Veneto,Oltre 500.001,1,0,1,0,0,1,0,0,1,0,1,0,1,0,Impiegato,Scuole medie,66,8,6,0,Typeform,worst,gibberish
Una femmina,52,Trentino-Alto Adige,Fino a 10.000,3,1,6,1,1,4,1,1,4,1,10,1,9,1,Casalinga,Scuole superiori/Diploma,347,10,36,8,Typeform,better,gibberish
Un maschio,50,Piemonte,Da 10.001 a 30.000,1,0,1,0,0,1,0,0,1,0,1,0,1,0,Impiegato,Scuole superiori/Diploma,78,5,6,0,Typeform,worst,not gibberish
Una femmina,57,Sardegna,Fino a 10.000,6,1,5,1,1,8,1,1,9,1,18,2,4,1,Imprenditore/libero professionista,Scuole superiori/Diploma,221,8,50,9,Typeform,worst,gibberish
Una femmina,66,Lombardia,Fino a 10.000,3,1,1,0,1,7,1,0,2,0,2,0,5,1,Pensionato,Scuole medie,116,10,20,4,Typeform,better,not gibberish
Una femmina,56,Puglia,Da 10.001 a 30.000,6,1,1,0,1,5,1,0,4,1,3,1,4,1,Impiegato,Laurea/post laurea,111,10,23,6,Typeform,worst,gibberish
Un maschio,27,Puglia,Da 30.001 a 100.000,14,2,8,1,1,14,2,0,1,0,3,1,3,1,Non occupato/in cerca di occupazione,Scuole superiori/Diploma,384,6,43,8,Typeform,worst,not gibberish
