SEX,AGE,REGION,CITY_SIZE,EDU_LV,JOB,N_W_Q1,# T_Q1,N_W_Q2,#T_Q2,#T_TRUSTED,N_W_Q3,#T_Q3,#T_UNTRUSTED,N_W_Q4,#T_Q4,N_W_Q5,#T_Q5,N_W_Q6,#T_Q6,COMPL_TIME_SEC,User_Experience_Rating,Total_Words_per_Respondent,Total_Themes_per_Respondent,Transcripts Comparison Result,Transcript Classification Result,Completion Mode
Una femmina,24,Lombardia,Fino a 10.000,Scuole superiori/Diploma,Operaio,10,2,6,1,1,8,2,0,0,0,18,2,7,1,340,9,49,7,better,not gibberish,Glaut
Un maschio,41,Lombardia,Da 10.001 a 30.000,Scuole superiori/Diploma,Dirigente/Quadro,7,2,7,1,1,8,1,0,0,0,6,1,5,1,253,7,33,5,better,not gibberish,Glaut
Un maschio,47,Piemonte,Fino a 10.000,Scuole superiori/Diploma,Operaio,12,2,13,2,1,8,2,0,0,0,7,1,4,1,314,7,44,7,better,not gibberish,Glaut
Una femmina,40,Piemonte,Fino a 10.000,Laurea/post laurea,Impiegato,14,3,11,2,1,6,1,1,5,2,22,2,6,1,262,7,64,10,better,not gibberish,Glaut
Un maschio,56,Emilia Romagna,Da 30.001 a 100.000,Scuole superiori/Diploma,Impiegato,8,2,6,1,1,8,2,1,18,2,6,2,2,1,460,6,48,10,better,not gibberish,Glaut
Un maschio,48,Puglia,Da 100.001 a 500.000,Scuole superiori/Diploma,Impiegato,11,2,11,4,4,22,2,1,19,1,8,1,6,1,588,10,77,14,better,not gibberish,Glaut
Una femmina,67,Campania,Da 30.001 a 100.000,Scuole superiori/Diploma,Casalinga,9,2,14,3,1,9,2,0,0,0,6,1,7,1,328,10,45,8,worst,not gibberish,Glaut
Una femmina,56,Lombardia,Da 30.001 a 100.000,Scuole superiori/Diploma,Impiegato,56,19,84,3,1,26,3,0,0,0,20,2,17,2,338,9,203,11,worst,not gibberish,Glaut
Un maschio,56,emilia romagna,Da 100.001 a 500.000,Scuole superiori/Diploma,Operaio,16,2,7,2,1,6,2,1,25,3,5,1,2,1,765,9,61,11,better,not gibberish,Glaut
Una femmina,36,Lazio,Da 10.001 a 30.000,Laurea/post laurea,Non occupato/in cerca di occupazione,46,2,13,1,1,22,2,1,23,2,46,2,27,2,357,8,177,11,worst,gibberish,Glaut
Una femmina,50,Lombardia,Oltre 500.001,Scuole superiori/Diploma,Impiegato,31,3,15,3,1,23,3,1,32,1,13,2,14,2,585,9,128,13,worst,gibberish,Glaut
Un maschio,56,Emilia Romagna,Da 30.001 a 100.000,Scuole superiori/Diploma,Impiegato,8,2,6,1,1,8,2,1,18,2,6,2,2,1,460,6,48,10,better,not gibberish,Glaut
Un maschio,57,Abruzzo,Da 10.001 a 30.000,Laurea/post laurea,Non occupato/in cerca di occupazione,2,0,15,2,0,0,0,0,0,0,6,0,4,0,326,7,27,2,worst,gibberish,Glaut
Una femmina,22,Toscana,Fino a 10.000,Scuole superiori/Diploma,Impiegato,19,2,11,2,1,17,2,0,0,0,37,2,29,2,410,10,113,9,better,not gibberish,Glaut
Un maschio,37,Piemonte,Da 10.001 a 30.000,Laurea/post laurea,Dirigente/Quadro,32,3,51,3,1,17,2,1,46,2,21,3,26,1,627,10,193,13,better,not gibberish,Glaut
Un maschio,46,Lombardia,Oltre 500.001,Laurea/post laurea,Impiegato,34,4,64,4,0,0,0,0,0,0,28,2,11,1,1281,8,137,7,better,not gibberish,Glaut
Una femmina,67,Puglia,Oltre 500.001,Laurea/post laurea,Casalinga,31,3,69,4,2,18,2,0,12,3,34,3,17,1,1021,10,181,15,worst,gibberish,Glaut
Una femmina,40,sicilia,Da 10.001 a 30.000,Scuole superiori/Diploma,Impiegato,2,2,3,1,0,0,0,0,0,0,4,0,2,0,274,6,11,1,better,not gibberish,Glaut
Un maschio,69,Abruzzo,Da 10.001 a 30.000,Scuole superiori/Diploma,Impiegato,8,2,6,1,1,6,1,1,12,2,2,1,9,1,425,9,43,8,better,not gibberish,Glaut
Un maschio,37,Piemonte,Da 10.001 a 30.000,Laurea/post laurea,Dirigente/Quadro,32,3,51,3,1,17,2,1,46,2,21,3,26,1,627,10,193,13,worst,gibberish,Glaut
Un maschio,32,Sardegna,Fino a 10.000,Scuole medie,Non occupato/in cerca di occupazione,7,2,6,1,1,5,1,0,0,0,7,2,3,1,193,10,28,6,better,not gibberish,Glaut
Una femmina,50,Lombardia,Oltre 500.001,Scuole superiori/Diploma,Impiegato,31,3,15,3,1,23,3,1,32,1,13,2,14,2,585,9,128,13,better,not gibberish,Glaut
Un maschio,25,Veneto,Da 10.001 a 30.000,Scuole superiori/Diploma,Impiegato,11,1,20,2,0,0,0,1,10,2,7,1,4,1,235,1,52,7,better,gibberish,Glaut
Un maschio,70,Campania.,Oltre 500.001,Laurea/post laurea,Imprenditore/libero professionista,37,3,46,2,1,18,2,0,0,0,29,2,23,2,1667,1,153,9,worst,gibberish,Glaut
Una femmina,19,sicilia,Fino a 10.000,Laurea/post laurea,Non occupato/in cerca di occupazione,13,2,9,1,1,12,2,0,0,0,13,2,16,2,447,10,63,8,better,not gibberish,Glaut
Un maschio,59,Lombardia,Da 10.001 a 30.000,Scuole superiori/Diploma,Imprenditore/libero professionista,20,2,17,3,1,24,3,1,29,2,16,1,8,1,451,10,114,12,better,not gibberish,Glaut
Un maschio,34,Friuli Venezia Giulia,Fino a 10.000,Scuole medie,Non occupato/in cerca di occupazione,13,1,11,2,1,7,1,0,0,0,8,1,6,1,215,10,45,6,better,not gibberish,Glaut
Una femmina,24,Lombardia,Fino a 10.000,Scuole superiori/Diploma,Operaio,10,2,6,1,1,8,2,0,0,0,18,2,7,1,340,9,49,7,better,not gibberish,Glaut
Una femmina,53,veneto,Da 10.001 a 30.000,Scuole medie,Impiegato,14,2,14,1,1,15,2,0,0,0,14,2,8,1,691,5,65,7,better,gibberish,Glaut
Un maschio,48,Puglia,Da 100.001 a 500.000,Scuole superiori/Diploma,Impiegato,11,2,11,4,4,22,2,1,19,1,8,1,6,1,588,10,77,14,better,not gibberish,Glaut
Un maschio,44,Sicilia,Da 100.001 a 500.000,Laurea/post laurea,Impiegato,4,0,2,0,1,2,0,1,4,1,2,0,2,0,260,4,16,3,better,not gibberish,Glaut
Una femmina,40,Piemonte,Fino a 10.000,Laurea/post laurea,Impiegato,14,3,11,2,1,6,1,1,5,2,22,2,6,1,262,7,64,10,better,gibberish,Glaut
Un maschio,39,Veneto,Fino a 10.000,Scuole superiori/Diploma,Dirigente/Quadro,9,2,12,1,1,11,3,0,0,0,2,1,19,2,587,9,53,8,better,not gibberish,Glaut
Un maschio,34,Friuli Venezia Giulia,Fino a 10.000,Scuole medie,Non occupato/in cerca di occupazione,13,1,11,2,1,7,1,0,0,0,8,1,6,1,215,10,45,6,better,not gibberish,Glaut
Una femmina,38,Puglia,Da 30.001 a 100.000,Scuole superiori/Diploma,Studente,20,3,20,2,1,26,2,0,0,0,4,0,7,1,392,10,77,6,better,gibberish,Glaut
Una femmina,40,Piemonte,Fino a 10.000,Laurea/post laurea,Impiegato,14,3,11,2,1,6,1,1,5,2,22,2,6,1,262,7,64,10,better,not gibberish,Glaut
Un maschio,47,Piemonte,Fino a 10.000,Scuole superiori/Diploma,Operaio,12,2,13,2,1,8,2,0,0,0,7,1,4,1,314,7,44,7,better,not gibberish,Glaut
Un maschio,53,Toscana,Da 100.001 a 500.000,Scuole superiori/Diploma,Impiegato,12,2,33,3,1,13,2,1,27,2,19,2,7,1,624,7,111,12,worst,not gibberish,Glaut
Un maschio,45,Emilia Romagna,Da 30.001 a 100.000,Laurea/post laurea,Impiegato,14,2,16,3,1,16,1,0,0,0,10,1,10,1,325,9,66,7,worst,not gibberish,Glaut
Un maschio,50,Lombardia,Fino a 10.000,Scuole superiori/Diploma,Operaio,3,2,9,2,1,5,2,1,3,2,6,2,3,0,259,9,29,10,better,not gibberish,Glaut
Un maschio,39,Veneto,Fino a 10.000,Scuole superiori/Diploma,Dirigente/Quadro,9,2,12,1,1,11,3,0,0,0,2,1,19,2,587,9,53,8,better,not gibberish,Glaut
Una femmina,45,Emilia Romagna,Da 100.001 a 500.000,Scuole superiori/Diploma,Impiegato,9,2,7,2,1,8,2,1,9,2,13,2,6,1,13385,7,52,11,worst,not gibberish,Glaut
Un maschio,46,Lombardia,Oltre 500.001,Laurea/post laurea,Impiegato,34,4,64,4,0,0,0,0,0,0,28,2,11,1,1281,8,137,7,better,not gibberish,Glaut
Una femmina,28,Lombardia,Oltre 500.001,Laurea/post laurea,Imprenditore/libero professionista,16,2,18,2,1,10,1,0,0,0,9,1,9,1,255,10,62,6,better,not gibberish,Glaut
Una femmina,39,Calabria,Da 100.001 a 500.000,Scuole superiori/Diploma,Impiegato,7,2,15,1,1,8,1,0,0,0,8,1,6,1,425,10,44,5,better,not gibberish,Glaut
Un maschio,69,Abruzzo,Da 10.001 a 30.000,Scuole superiori/Diploma,Impiegato,8,2,6,1,1,6,1,1,12,2,2,1,9,1,425,9,43,8,better,not gibberish,Glaut
Un maschio,37,Piemonte,Da 10.001 a 30.000,Laurea/post laurea,Dirigente/Quadro,32,3,51,3,1,17,2,1,46,2,21,3,26,1,627,10,193,13,better,gibberish,Glaut
Una femmina,33,Sicilia,Da 30.001 a 100.000,Laurea/post laurea,Impiegato,18,1,8,1,1,4,1,1,4,1,3,1,2,1,563,10,39,7,better,gibberish,Glaut
Una femmina,49,Sardegna,Fino a 10.000,Scuole superiori/Diploma,Operaio,31,1,37,2,3,13,2,1,11,1,10,2,11,2,330,9,113,13,better,not gibberish,Glaut
Una femmina,36,lazio,Oltre 500.001,Laurea/post laurea,Impiegato,11,1,7,2,1,5,2,1,5,1,2,1,3,1,218,8,33,9,better,gibberish,Glaut
Una femmina,31,Toscana,Da 30.001 a 100.000,Laurea/post laurea,Impiegato,13,1,11,1,1,6,2,0,0,0,10,1,10,1,276,9,50,6,better,not gibberish,Glaut
Una femmina,48,Piemonte,Da 30.001 a 100.000,Laurea/post laurea,Impiegato,10,2,12,1,1,9,2,1,10,2,7,1,8,1,485,8,55,9,worst,gibberish,Glaut
Un maschio,14,Veneto,Fino a 10.000,Laurea/post laurea,Imprenditore/libero professionista,17,1,10,2,1,9,1,0,0,0,3,1,3,1,304,7,42,6,better,gibberish,Glaut
Un maschio,69,Abruzzo,Da 10.001 a 30.000,Scuole superiori/Diploma,Impiegato,8,2,6,1,1,6,1,1,12,2,2,1,9,1,425,9,43,8,worst,gibberish,Glaut
Una femmina,28,Lombardia,Oltre 500.001,Laurea/post laurea,Imprenditore/libero professionista,16,2,18,2,1,10,1,0,0,0,9,1,9,1,255,10,62,6,better,not gibberish,Glaut
Una femmina,31,Toscana,Da 30.001 a 100.000,Laurea/post laurea,Impiegato,13,1,11,1,1,6,2,0,0,0,10,1,10,1,276,9,50,6,worst,not gibberish,Glaut
Un maschio,32,Emilia romagna,Da 100.001 a 500.000,Scuole superiori/Diploma,Imprenditore/libero professionista,23,2,17,1,1,12,2,0,0,0,9,1,10,0,223,10,71,5,better,not gibberish,Glaut
Un maschio,29,emilia romagna,Da 100.001 a 500.000,Laurea/post laurea,Imprenditore/libero professionista,20,2,25,3,1,25,4,1,10,1,40,3,10,2,391,7,130,15,better,not gibberish,Glaut
Un maschio,56,emilia romagna,Da 100.001 a 500.000,Scuole superiori/Diploma,Operaio,16,2,7,2,1,6,2,1,25,3,5,1,2,1,765,9,61,11,better,not gibberish,Glaut
Un maschio,53,Toscana,Da 100.001 a 500.000,Scuole superiori/Diploma,Impiegato,12,2,33,3,1,13,2,1,27,2,19,2,7,1,624,7,111,12,better,not gibberish,Glaut
Un maschio,57,Abruzzo,Da 10.001 a 30.000,Laurea/post laurea,Non occupato/in cerca di occupazione,2,0,15,2,0,0,0,0,0,0,6,0,4,0,326,7,27,2,worst,not gibberish,Glaut
Una femmina,48,Piemonte,Da 30.001 a 100.000,Laurea/post laurea,Impiegato,10,2,12,1,1,9,2,1,10,2,7,1,8,1,485,8,55,9,better,gibberish,Glaut
Una femmina,20,Campania,Da 10.001 a 30.000,Scuole superiori/Diploma,Studente,18,4,12,1,1,9,1,0,0,0,23,3,11,1,287,10,73,7,better,not gibberish,Glaut
Un maschio,69,Abruzzo,Da 10.001 a 30.000,Scuole superiori/Diploma,Impiegato,8,2,6,1,1,6,1,1,12,2,2,1,9,1,425,9,43,8,worst,gibberish,Glaut
Una femmina,28,Lombardia,Oltre 500.001,Laurea/post laurea,Imprenditore/libero professionista,16,2,18,2,1,10,1,0,0,0,9,1,9,1,255,10,62,6,worst,not gibberish,Glaut
Una femmina,42,Lombardia,Oltre 500.001,Laurea/post laurea,Impiegato,14,2,21,3,0,10,3,0,0,0,26,3,13,2,358,9,84,11,better,not gibberish,Glaut
Un maschio,68,Lombardia,Da 10.001 a 30.000,Laurea/post laurea,Pensionato,8,1,18,1,0,29,2,2,39,2,47,3,70,2,308,10,211,12,worst,gibberish,Glaut
Una femmina,28,Lombardia,Oltre 500.001,Laurea/post laurea,Imprenditore/libero professionista,16,2,18,2,1,10,1,0,0,0,9,1,9,1,255,10,62,6,better,not gibberish,Glaut
Una femmina,50,Lombardia,Oltre 500.001,Scuole superiori/Diploma,Impiegato,31,3,15,3,1,23,3,1,32,1,13,2,14,2,585,9,128,13,worst,not gibberish,Glaut
Un maschio,47,Piemonte,Fino a 10.000,Scuole superiori/Diploma,Operaio,12,2,13,2,1,8,2,0,0,0,7,1,4,1,314,7,44,7,worst,not gibberish,Glaut
Un maschio,41,Lombardia,Da 10.001 a 30.000,Scuole superiori/Diploma,Dirigente/Quadro,7,2,7,1,1,8,1,0,0,0,6,1,5,1,253,7,33,5,better,gibberish,Glaut
Una femmina,19,Emilia Romagna,Da 10.001 a 30.000,Scuole superiori/Diploma,Studente,27,3,27,2,1,17,3,1,13,2,10,2,5,1,205,10,99,12,worst,gibberish,Glaut
Una femmina,50,Piemonte,Da 30.001 a 100.000,Scuole superiori/Diploma,Impiegato,22,3,10,3,1,10,2,1,7,1,4,1,7,1,305,10,60,10,better,not gibberish,Glaut
Una femmina,55,Molise,Da 30.001 a 100.000,Laurea/post laurea,Dirigente/Quadro,33,3,30,2,1,7,2,0,0,0,33,3,16,2,528,10,119,10,worst,gibberish,Glaut
Un maschio,65,marche,Fino a 10.000,Scuole superiori/Diploma,Casalinga,32,1,16,2,1,9,1,0,23,2,6,1,6,1,512,4,92,8,worst,gibberish,Glaut
Un maschio,34,Friuli Venezia Giulia,Fino a 10.000,Scuole medie,Non occupato/in cerca di occupazione,13,1,11,2,1,7,1,0,0,0,8,1,6,1,215,10,45,6,worst,gibberish,Glaut
Un maschio,36,Sardegna,Da 100.001 a 500.000,Laurea/post laurea,Dirigente/Quadro,56,2,55,2,1,6,1,1,41,3,33,3,9,1,569,10,200,12,better,not gibberish,Glaut
Una femmina,45,Emilia Romagna,Da 100.001 a 500.000,Scuole superiori/Diploma,Impiegato,9,2,7,2,1,8,2,1,9,2,13,2,6,1,13385,7,52,11,better,not gibberish,Glaut
Un maschio,32,Sardegna,Fino a 10.000,Scuole medie,Non occupato/in cerca di occupazione,7,2,6,1,1,5,1,0,0,0,7,2,3,1,120,8,28,6,better,not gibberish,Traditional Survey
Una femmina,45,Emilia Romagna,Da 100.001 a 500.000,Scuole superiori/Diploma,Impiegato,9,2,7,2,1,8,2,1,9,2,13,2,6,1,155,8,52,4,better,not gibberish,Traditional Survey
Un maschio,49,Lazio,Fino a 10.000,Scuole superiori/Diploma,Impiegato,7,2,9,2,1,12,2,1,11,2,16,2,8,1,276,10,63,5,better,not gibberish,Traditional Survey
Una femmina,77,Trentino-Alto Adige,Da 30.001 a 100.000,Laurea/post laurea,Pensionato,3,2,3,2,1,7,2,0,6,0,7,1,11,1,205,8,37,9,better,gibberish,Traditional Survey
Una femmina,24,Lazio,Da 30.001 a 100.000,Laurea/post laurea,Impiegato,8,1,5,0,1,5,1,1,3,0,3,1,2,1,157,9,26,6,better,not gibberish,Traditional Survey
Una femmina,38,Calabria,Da 10.001 a 30.000,Scuole superiori/Diploma,Casalinga,5,1,1,0,1,5,1,0,5,0,5,0,4,1,177,10,25,4,worst,not gibberish,Traditional Survey
Un maschio,50,Trentino-Alto Adige,Da 100.001 a 500.000,Laurea/post laurea,Impiegato,2,1,3,1,0,2,1,1,4,0,4,1,4,1,205,0,19,6,worst,gibberish,Traditional Survey
Una femmina,22,Campania,Da 30.001 a 100.000,Scuole superiori/Diploma,Casalinga,18,3,9,0,1,4,1,0,4,0,4,1,6,1,166,5,45,7,better,gibberish,Traditional Survey
Una femmina,54,Piemonte,Da 30.001 a 100.000,Laurea/post laurea,Impiegato,10,1,2,1,1,2,1,1,2,1,3,1,3,1,141,5,22,8,worst,gibberish,Traditional Survey
Una femmina,35,Lombardia,Oltre 500.001,,Imprenditore/libero professionista,8,1,1,0,1,13,1,0,2,0,16,3,15,2,174,8,55,8,worst,gibberish,Traditional Survey
Una femmina,45,Emilia-Romagna,Da 100.001 a 500.000,Scuole superiori/Diploma,Impiegato,5,1,3,1,0,5,1,1,5,1,6,1,6,1,1362,7,30,7,worst,gibberish,Traditional Survey
Una femmina,53,Campania,Da 30.001 a 100.000,,Non occupato/in cerca di occupazione,14,3,9,1,3,17,3,1,5,1,10,1,5,1,371,10,60,13,worst,gibberish,Traditional Survey
Un maschio,19,Sicilia,Fino a 10.000,Scuole superiori/Diploma,Non occupato/in cerca di occupazione,12,1,5,1,1,6,2,0,5,0,12,1,5,1,252,10,45,7,better,not gibberish,Traditional Survey
Una femmina,66,Abruzzo,Da 10.001 a 30.000,,Casalinga,12,1,1,0,1,4,1,0,8,0,3,1,3,1,165,10,31,5,worst,gibberish,Traditional Survey
Un maschio,34,Campania,Da 10.001 a 30.000,Laurea/post laurea,Impiegato,9,1,5,1,1,3,2,0,1,0,1,0,1,1,238,8,20,6,worst,gibberish,Traditional Survey
Una femmina,34,Sicilia,Da 10.001 a 30.000,Laurea/post laurea,Dirigente/Quadro,15,2,5,1,1,7,1,1,6,1,5,1,4,1,197,10,42,9,better,not gibberish,Traditional Survey
Un maschio,77,Lombardia,Fino a 10.000,Laurea/post laurea,Pensionato,10,2,9,2,0,6,0,0,7,1,5,1,1,0,543,2,38,6,worst,not gibberish,Traditional Survey
Una femmina,77,Trentino-Alto Adige,Da 30.001 a 100.000,Laurea/post laurea,Pensionato,3,2,3,2,1,7,2,0,6,0,7,1,11,1,205,8,37,9,worst,not gibberish,Traditional Survey
Una femmina,20,Piemonte,Fino a 10.000,Scuole superiori/Diploma,Artigiano/commerciante,4,1,7,1,1,4,1,1,7,1,5,1,5,1,189,10,32,8,worst,not gibberish,Traditional Survey
Un maschio,77,Lombardia,Fino a 10.000,Laurea/post laurea,Pensionato,10,2,9,2,0,6,0,0,7,1,5,1,1,0,543,2,38,6,better,not gibberish,Traditional Survey
Un maschio,29,Campania,Da 30.001 a 100.000,Scuole superiori/Diploma,Impiegato,3,1,1,0,1,3,1,1,1,1,4,0,1,1,112,9,13,6,worst,not gibberish,Traditional Survey
Un maschio,63,Marche,Da 10.001 a 30.000,Scuole superiori/Diploma,Pensionato,4,1,4,1,0,5,0,0,2,0,4,0,2,1,352,4,21,3,better,not gibberish,Traditional Survey
Una femmina,18,Lazio,Fino a 10.000,Scuole medie,Impiegato,13,2,5,1,,2,0,0,1,0,5,1,2,1,107,10,28,5,worst,gibberish,Traditional Survey
Una femmina,30,Sicilia,Da 10.001 a 30.000,Laurea/post laurea,Impiegato,27,3,8,2,1,1,1,0,2,0,8,1,2,0,536,,48,8,worst,not gibberish,Traditional Survey
Una femmina,40,Sicilia,Da 10.001 a 30.000,Scuole superiori/Diploma,Casalinga,1,1,1,0,0,1,1,0,2,1,2,0,2,0,235,6,9,3,worst,gibberish,Traditional Survey
Un maschio,60,Campania,Oltre 500.001,Scuole superiori/Diploma,Pensionato,6,1,8,1,1,11,2,0,7,1,13,2,7,0,426,9,52,8,worst,gibberish,Traditional Survey
Un maschio,25,Sicilia,Fino a 10.000,Laurea/post laurea,Impiegato,1,1,3,1,1,2,1,1,3,1,2,1,3,1,836,9,14,8,worst,not gibberish,Traditional Survey
Una femmina,40,Lombardia,Da 30.001 a 100.000,Laurea/post laurea,Impiegato,9,2,9,2,1,10,1,0,5,0,12,2,9,2,192,9,54,10,worst,gibberish,Traditional Survey
Un maschio,29,Campania,Da 30.001 a 100.000,Scuole superiori/Diploma,Impiegato,3,1,1,0,1,3,1,1,1,1,4,0,1,1,112,9,13,6,better,not gibberish,Traditional Survey
Un maschio,25,Sicilia,Fino a 10.000,Laurea/post laurea,Impiegato,1,1,3,1,1,2,1,1,3,1,2,1,3,1,836,9,14,8,better,not gibberish,Traditional Survey
Una femmina,42,Lombardia,Da 10.001 a 30.000,Laurea/post laurea,Impiegato,4,1,5,1,1,5,1,1,5,1,6,1,7,1,200,8,32,8,worst,gibberish,Traditional Survey
Un maschio,47,Veneto,Da 30.001 a 100.000,Laurea/post laurea,Dirigente/Quadro,3,1,6,1,1,4,1,0,3,0,3,1,2,1,170,10,21,6,better,gibberish,Traditional Survey
Un maschio,56,Sicilia,Da 10.001 a 30.000,Scuole superiori/Diploma,Dirigente/Quadro,2,0,1,0,1,2,1,1,4,1,2,0,1,0,124,10,12,4,better,gibberish,Traditional Survey
Un maschio,34,Lazio,Oltre 500.001,Laurea/post laurea,Impiegato,4,1,1,0,1,2,1,1,3,1,1,1,2,1,176,10,13,7,worst,not gibberish,Traditional Survey
Una femmina,42,Campania,Oltre 500.001,Laurea/post laurea,Impiegato,6,1,3,3,1,5,2,1,5,1,6,1,7,1,215,10,32,11,better,not gibberish,Traditional Survey
Un maschio,33,Marche,Da 100.001 a 500.000,Scuole superiori/Diploma,Impiegato,3,0,1,0,1,2,0,0,1,0,4,1,2,0,191,10,13,3,worst,not gibberish,Traditional Survey
Un maschio,41,Lombardia,Da 10.001 a 30.000,Scuole superiori/Diploma,Operaio,4,1,2,0,1,3,0,1,2,1,3,0,3,1,106,5,17,5,worst,gibberish,Traditional Survey
Un maschio,27,Veneto,Oltre 500.001,Scuole medie,Impiegato,1,0,1,0,0,1,0,0,1,0,1,0,1,0,66,8,6,0,worst,gibberish,Traditional Survey
Una femmina,52,Trentino-Alto Adige,Fino a 10.000,Scuole superiori/Diploma,Casalinga,3,1,6,1,1,4,1,1,4,1,10,1,9,1,347,10,36,8,better,gibberish,Traditional Survey
Un maschio,50,Piemonte,Da 10.001 a 30.000,Scuole superiori/Diploma,Impiegato,1,0,1,0,0,1,0,0,1,0,1,0,1,0,78,5,6,0,worst,not gibberish,Traditional Survey
Una femmina,57,Sardegna,Fino a 10.000,Scuole superiori/Diploma,Imprenditore/libero professionista,6,1,5,1,1,8,1,1,9,1,18,2,4,1,221,8,50,9,worst,gibberish,Traditional Survey
Una femmina,66,Lombardia,Fino a 10.000,Scuole medie,Pensionato,3,1,1,0,1,7,1,0,2,0,2,0,5,1,116,10,20,4,better,not gibberish,Traditional Survey
Una femmina,56,Puglia,Da 10.001 a 30.000,Laurea/post laurea,Impiegato,6,1,1,0,1,5,1,0,4,1,3,1,4,1,111,10,23,6,worst,gibberish,Traditional Survey
